=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:13:45 =~=~=~=~=~=~=~=~=~=~=~=,
2138,0
2150,0.32
2162,0.12
2176,0.01
2188,0
2200,0
2212,0
2225,0.04
2238,0.14
2250,0.3
2263,0.11
2275,0
2287,0
2299,0
2313,0
2325,0.28
2337,0.3
2350,0.08
2362,0.1
2375,0.04
2387,0.03
2400,0
2412,0.38
2424,0.38
2438,0
2450,0.3
2462,0.15
2475,0.16
2487,0.3
2499,0.03
2512,0.16
2525,0
2537,0.38
2549,0.23
2562,0.14
2575,0.11
2587,0.14
2599,0.21
2612,0.31
2624,0.18
2637,0
2650,0
2662,0
2674,0
2686,0.28
2699,0
2712,0
2724,0.36
2737,0.12
2749,0
2761,0.27
2775,0.29
2787,0
2799,0
2811,0.03
2824,0.25
2837,0.24
2849,0.21
2862,0.32
2874,0.03
2886,0.12
2898,0.05
2912,0.3
2924,0.13
2936,0.04
2949,0.01
2961,0.02
2974,0.06
2987,0.15
2999,0.28
3011,0.21
3023,0
3037,0
3049,0
3061,0
3074,0
3086,0
3098,0
3111,0
3124,0
3136,0
3148,0.36
3161,0.04
3174,0.25
3186,0.28
3198,0.03
3211,0.23
3223,0.1
3236,0.12
3249,0.27
3261,0.06
3273,0.15
3286,0
3298,0.38
3311,0.24
3323,0.16
3336,0.13
3348,0.16
3360,0.23
3374,0.33
3386,0.12
3398,0
3410,0
3423,0
3436,0
3448,0
3461,0
3473,0.01
3485,0.08
3497,0.28
3511,0.33
3523,0.1
3535,0.33
3548,0.1
3560,0.15
3573,0.21
3586,0.15
3598,0.04
3610,0.08
3622,0.25
3636,0.08
3648,0.15
3660,0
3673,0.34
3685,0.26
3697,0.19
3710,0.17
3723,0.2
3735,0.27
3747,0.36
3760,0.04
3773,0.02
3785,0
3798,0
3810,0
3822,0
3835,0
3848,0.08
3860,0.16
3872,0.36
3885,0.27
3897,0.19
3910,0.28
3922,0.18
3935,0.23
3947,0.04
3959,0.24
3973,0.12
3985,0.16
3997,0.32
4009,0
4022,0.22
4035,0
4047,0.12
4060,0.34
4072,0.27
4084,0.25
4097,0.28
4110,0.34
4122,0.17
4134,0
4147,0.07
4159,0
4172,0
4185,0
4197,0
4209,0
4221,0
4235,0
4247,0
4259,0
4272,0.13
4284,0
4296,0.35
4310,0.29
4322,0
4334,0.38
4346,0.24
4359,0.27
4372,0.28
4384,0
4397,0.3
4409,0.02
4421,0.04
4434,0.37
4447,0.31
4459,0.28
4471,0.31
4484,0.37
4496,0.12
4509,0
4521,0.08
4534,0
4546,0
4558,0
4572,0
4584,0
4596,0.13
4609,0.11
4621,0.25
4634,0.27
4646,0.02
4659,0.21
4671,0
4683,0.01
4696,0.26
4709,0
4721,0
4733,0
4746,0.04
4758,0.3
4771,0
4784,0.37
4796,0.16
4808,0.03
4820,0
4834,0
4846,0
4858,0.03
4871,0.13
4883,0.28
4895,0.2
4909,0
4921,0
4933,0
4945,0
4958,0.23
4971,0.21
4983,0.21
4996,0.22
5008,0.14
5020,0
5033,0
5046,0.11
5058,0.13
5070,0
5083,0.37
5095,0.24
5108,0.25
5121,0.36
5133,0
5145,0.25
5157,0
5171,0.15
5183,0.32
5195,0.23
5208,0.2
5220,0.22
5233,0.29
5245,0.36
5258,0.04
5270,0.01
5282,0
5295,0
5308,0
5320,0
5332,0
5345,0
5357,0
5370,0.21
5383,0.03
5395,0.32
5407,0.26
5420,0
5433,0.11
5445,0
5457,0.21
5470,0
5482,0
5494,0.03
5508,0.21
5520,0.05
5532,0.19
5544,0
5557,0.13
5570,0.37
5582,0.32
5595,0.32
5607,0.35
5619,0.23
5633,0.03
5645,0.01
5657,0.19
5669,0
5682,0
5694,0
5707,0
5720,0.35
5732,0
5744,0
5756,0
5770,0.03
5782,0
5794,0.04
5807,0.01
5819,0
5832,0.13
5844,0
5857,0.11
5869,0.05
5881,0
5894,0.21
5907,0
5919,0.29
5932,0.08
5944,0
5956,0.01
5969,0.03
5982,0.01
5994,0
6006,0.05
6019,0.19
6032,0.37
6044,0
6056,0
6069,0
6081,0
6093,0.04
6107,0
6119,0
6131,0
6144,0
6156,0.37
6169,0
6181,0.29
6194,0.32
6206,0
6218,0.27
6232,0.14
6244,0.16
6256,0.31
6268,0.02
6281,0.19
6293,0
6306,0.27
6319,0.28
6331,0.19
6343,0.17
6355,0.19
6369,0.26
6381,0.37
6393,0.07
6406,0
6418,0
6431,0
6444,0
6456,0
6468,0
6480,0
6493,0.19
6506,0.32
6518,0.28
6531,0
6543,0.05
6555,0.04
6568,0.07
6581,0
6593,0.3
6605,0.26
6618,0.25
6631,0.38
6643,0
6656,0.23
6668,0
6680,0.25
6692,0.28
6706,0.19
6718,0.15
6730,0.17
6743,0.23
6755,0.33
6768,0.16
6780,0
6793,0
6805,0
6817,0
6831,0
6843,0.31
6855,0
6867,0.11
6880,0
6892,0.02
6905,0.25
6918,0.26
6930,0.14
6942,0.16
6955,0.24
6968,0.11
6980,0
6992,0.02
7005,0.15
7017,0.31
7030,0.04
7043,0.12
7055,0.26
7067,0.11
7079,0.03
7092,0.01
7105,0.03
7117,0.09
7130,0.2
7142,0.34
7154,0.06
7168,0
7180,0
7192,0
7204,0
7217,0
7230,0
7242,0.15
7255,0
7267,0.37
7279,0
7291,0
7305,0.22
7317,0.11
7329,0.27
7342,0
7354,0.22
7367,0.34
7379,0.12
7392,0
7404,0.27
7416,0
7430,0.29
7442,0.24
7454,0.13
7467,0.08
7479,0.08
7491,0.13
7504,0.21
7517,0.34
7529,0.1
7541,0.01
7554,0
7567,0
7579,0
7591,0.06
7604,0.17
7616,0.32
7629,0
7642,0.32
7654,0
7666,0
7678,0.17
7691,0.06
7704,0.2
7716,0.02
7729,0.35
7741,0.3
7753,0.37
7767,0.02
7779,0.14
7791,0.03
7803,0.29
7816,0.11
7829,0.01
7841,0
7854,0
7866,0.01
7878,0.06
7890,0.18
7904,0.35
7916,0.04
7928,0
7941,0
7953,0
7966,0
7979,0.12
7991,0.14
8003,0
8015,0.26
8029,0
8041,0
8053,0.11
8066,0
8078,0.11
8090,0.14
8103,0.24
8116,0.17
8128,0.25
8140,0.2
8153,0.01
8166,0.35
8178,0.14
8190,0
8203,0.01
8215,0.07
8228,0.08
8241,0.03
8253,0
8265,0.03
8278,0.19
8290,0.37
8303,0
8315,0
8328,0
8340,0
8352,0
8366,0
8378,0
8390,0
8402,0
8415,0.2
8428,0
8440,0.35
8453,0.37
8465,0
8477,0.32
8489,0.19
8503,0.21
8515,0.36
8527,0
8540,0.23
8552,0
8565,0.16
8578,0.31
8590,0.23
8602,0.21
8614,0.22
8628,0.29
8640,0.34
8652,0.04
8665,0.01
8677,0
8689,0
8702,0
8715,0
8727,0
8739,0
8752,0
8765,0
8777,0
8790,0.18
8802,0
8814,0.36
8827,0.38
8840,0
8852,0.34
8864,0.2
8877,0.22
8889,0.37
8902,0
8914,0.25
8927,0
8939,0.14
8951,0.33
8965,0.25
8977,0.21
8989,0.24
9001,0.32
9014,0.31
9027,0.02
9039,0.02
9052,0
9064,0
9076,0
9089,0
9102,0.15
9114,0.37
9126,0.23
9139,0.31
9151,0.27
9164,0.01
9177,0.15
9189,0
9201,0
9213,0.16
9227,0
9239,0.14
9251,0.1
9264,0
9276,0.14
9288,0.09
9302,0.2
9314,0
9326,0.02
9338,0.14
9351,0.21
9364,0.16
9376,0.06
9389,0
9401,0.06
9413,0.23
9426,0
9439,0
9451,0
9463,0
9476,0.02
9488,0.36
9501,0.02
9513,0
9526,0
9538,0.33
9550,0.25
9564,0.1
9576,0.08
9588,0.31
9601,0
9613,0.01
9626,0.04
9638,0
9651,0.17
9663,0.09
9675,0.2
9688,0
9701,0.03
9713,0.2
9725,0.32
9738,0.28
9750,0.13
9763,0.01
9776,0.01
