=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:29:52 =~=~=~=~=~=~=~=~=~=~=~=,
4846,0.05
4858,0.24
4871,0.35
4883,0.3
4895,0.13
4909,0.01
4921,0.03
4933,0.21
4945,0.25
4958,0
4971,0
4983,0
4996,0
5008,0.02
5020,0
5033,0
5046,0.09
5058,0.21
5070,0.06
5083,0.34
5095,0.14
5108,0.24
5121,0.02
5133,0.33
5145,0.26
5157,0.33
5171,0.05
5183,0.11
5195,0.05
5208,0.28
5220,0.11
5233,0.03
5245,0
5258,0.02
5270,0.07
5282,0.18
5295,0.33
5308,0.06
5320,0.03
5332,0
5345,0
5357,0
5370,0.15
5383,0
5395,0
5407,0
5420,0.36
5433,0.02
5445,0.14
5457,0
5470,0
5482,0.01
5494,0.35
5508,0.13
5520,0.09
5532,0.18
5544,0.32
5557,0.01
5570,0.31
5582,0.18
5595,0.03
5607,0
5619,0
5633,0
5645,0.02
5657,0.13
5669,0.29
5682,0.14
5694,0.01
5707,0
5720,0
5732,0
5744,0
5756,0
5770,0.31
5782,0
5794,0.16
5807,0.37
5819,0.26
5832,0.01
5844,0.25
5857,0.03
5869,0.14
5881,0
5894,0
5907,0.01
5919,0.2
5932,0.06
5944,0.21
5956,0
5969,0.02
5982,0.15
5994,0.22
6006,0.16
6019,0.04
6032,0
6044,0.09
6056,0.28
6069,0
6081,0
6093,0
6107,0
6119,0
6131,0
6144,0.36
6156,0.09
6169,0
6181,0
6194,0.19
6206,0.08
6218,0.21
6232,0
6244,0
6256,0.15
6268,0
6281,0.11
6293,0.1
6306,0
6319,0.19
6331,0.03
6343,0.29
6355,0.09
6369,0
6381,0
6393,0
6406,0
6418,0.06
6431,0.2
6444,0.37
6456,0.02
6468,0
6480,0
6493,0
6506,0.23
6518,0.39
6531,0.21
6543,0
6555,0
6568,0
6581,0.3
6593,0.24
6605,0.13
6618,0.14
6631,0.33
6643,0.1
6656,0
6668,0.02
6680,0.17
6692,0.19
6706,0.08
6718,0.04
6730,0.36
6743,0.25
6755,0.19
6768,0.18
6780,0.24
6793,0.33
6805,0.15
6817,0
6831,0.13
6843,0
6855,0
6867,0
6880,0
6892,0
6905,0.02
6918,0.02
6930,0.18
6942,0.23
6955,0.02
6968,0.23
6980,0.02
6992,0.07
7005,0.38
7017,0.11
7030,0.02
7043,0.08
7055,0.27
7067,0.01
7079,0.22
7092,0
7105,0.06
7117,0.29
7130,0.38
7142,0.38
7154,0.21
7168,0.04
7180,0.01
7192,0.16
7204,0.37
7217,0
7230,0
7242,0
7255,0
7267,0
7279,0.38
7291,0
7305,0.03
7317,0.33
7329,0
7342,0
7354,0.24
7367,0.35
7379,0
7392,0.27
7404,0.11
7416,0.12
7430,0.27
7442,0.07
7454,0.14
7467,0
7479,0.35
7491,0.26
7504,0.2
7517,0.19
7529,0.23
7541,0.32
7554,0.19
7567,0
7579,0.1
7591,0
7604,0
7616,0
7629,0
7642,0.35
7654,0
7666,0.02
7678,0
7691,0
7704,0.31
7716,0
7729,0.37
7741,0.24
7753,0
7767,0.21
7779,0.35
7791,0.33
7803,0
7816,0.13
7829,0.06
7841,0.27
7854,0.1
7866,0.01
7878,0
7890,0
7904,0.03
7916,0.11
7928,0.26
7941,0.23
7953,0
7966,0
7979,0
7991,0
8003,0
8015,0.32
8029,0.07
8041,0.36
8053,0
8066,0.02
8078,0
8090,0.22
8103,0.07
8116,0.2
8128,0.04
8140,0.32
8153,0.27
8166,0.35
8178,0.03
8190,0.14
8203,0.01
8215,0.32
8228,0.16
8241,0.07
8253,0.05
8265,0.07
8278,0.13
8290,0.25
8303,0.32
8315,0
8328,0
8340,0
8352,0
8366,0
8378,0
8390,0.38
8402,0.13
8415,0
8428,0
8440,0.08
8453,0.14
8465,0.27
8477,0
8489,0
8503,0.22
8515,0
8527,0.02
8540,0.03
8552,0
8565,0.24
8578,0
8590,0.34
8602,0.14
8614,0.03
8628,0
8640,0
8652,0.02
8665,0.11
8677,0.24
8689,0.32
8702,0
8715,0
8727,0
8739,0
8752,0
8765,0
8777,0
8790,0.1
8802,0
8814,0.38
8827,0
8840,0
8852,0.32
8864,0.24
8877,0.22
8889,0.07
8902,0
8914,0
8927,0.03
8939,0.26
8951,0
8965,0.32
8977,0.1
8989,0
9001,0
9014,0.01
9027,0
9039,0.01
9052,0.11
9064,0.28
9076,0.13
9089,0
9102,0
9114,0
9126,0
9139,0.38
9151,0
9164,0.04
9177,0
9189,0
9201,0.35
9213,0
9227,0.36
9239,0.3
9251,0
9264,0.27
9276,0.32
9288,0.38
9302,0.01
9314,0.11
9326,0.1
9338,0.25
9351,0.07
9364,0
9376,0
9389,0
9401,0.01
9413,0.08
9426,0.22
9439,0.34
9451,0
9463,0
9476,0
9488,0
9501,0
9513,0.25
9526,0.01
9538,0.28
9550,0
9564,0
9576,0
9588,0.12
9601,0
9613,0.09
9626,0.22
9638,0.21
9651,0.16
9663,0.25
9675,0.19
9688,0.04
9701,0.19
9713,0.21
9725,0.05
9738,0
9750,0
9763,0
9776,0.03
9788,0.13
9800,0.28
9812,0.14
9826,0
9838,0
9850,0
9863,0
9875,0
9887,0.3
9901,0.3
9913,0.08
9925,0.1
9937,0.05
9950,0
