=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:01:25 =~=~=~=~=~=~=~=~=~=~=~=,,
6581,0.02,
6593,0.05,
6605,0,
6618,0.02,
6631,0.04,
6643,0.02,
6656,0.06,
6668,0.05,
6680,0.39,
6692,0.35,
6706,0.06,
6718,0.04,
6730,0.38,
6743,0.07,
6755,0.01,
6768,0.31,
6780,0.32,
6793,0.28,
6805,0.28,
6817,0.33,
6831,0.3,
6843,0.05,
6855,0.01,
6867,0,
6880,0,
6892,0,
6905,0,
6918,0,
6930,0.05,
6942,0,
6955,0.02,
6968,0.13,
6980,0,
6992,0.2,
7005,0,
7017,0.05,
7030,0.33,
7043,0.05,
7055,0,
7067,0,
7079,0.11,
7092,0.39,
7105,0.01,
7117,0.22,
7130,0.22,
7142,0.07,
7154,0.01,
7168,0,
7180,0,
7192,0.02,
7204,0.11,
7217,0.24,
7230,0.34,
7242,0,
7255,0,
7267,0,
7279,0,
7291,0.11,
7305,0.29,
7317,0.12,
7329,0.17,
7342,0.12,
7354,0,
7367,0,
7379,0.16,
7392,0.19,
7404,0,
7416,0.35,
7430,0.2,
7442,0.19,
7454,0.32,
7467,0.02,
7479,0.14,
7491,0.03,
7504,0.32,
7517,0.15,
7529,0.05,
7541,0.02,
7554,0.02,
7567,0.05,
7579,0.13,
7591,0.25,
7604,0.34,
7616,0,
7629,0,
7642,0,
7654,0,
7666,0.14,
7678,0.28,
7691,0,
7704,0,
7716,0.11,
7729,0.2,
7741,0,
7753,0.2,
7767,0,
7779,0.02,
7791,0.28,
7803,0,
7816,0,
7829,0,
7841,0.04,
7854,0.28,
7866,0,
7878,0.33,
7890,0.11,
7904,0,
7916,0,
7928,0.02,
7941,0.02,
7953,0,
7966,0.01,
7979,0.11,
7991,0.26,
8003,0,
8015,0,
8029,0,
8041,0,
8053,0,
8066,0.1,
8078,0,
8090,0.14,
8103,0.28,
8116,0.35,
8128,0,
8140,0.04,
8153,0,
8166,0.21,
8178,0,
8190,0,
8203,0,
8215,0.14,
8228,0.24,
8241,0.07,
8253,0.06,
8265,0.33,
8278,0.2,
8290,0.11,
8303,0.09,
8315,0.12,
8328,0.19,
8340,0.3,
8352,0.28,
8366,0,
8378,0,
8390,0,
8402,0.21,
8415,0,
8428,0,
8440,0.31,
8453,0.35,
8465,0.32,
8477,0,
8489,0.11,
8503,0,
8515,0,
8527,0.03,
8540,0.2,
8552,0.29,
8565,0.28,
8578,0.35,
8590,0,
8602,0.21,
8614,0,
8628,0.37,
8640,0.21,
8652,0.11,
8665,0.06,
8677,0.06,
8689,0.1,
8702,0.18,
8715,0.3,
8727,0.18,
8739,0,
8752,0,
8765,0,
8777,0,
8790,0,
8802,0,
8814,0.2,
8827,0,
8840,0.03,
8852,0,
8864,0.29,
8877,0.13,
8889,0.25,
8902,0,
8914,0.34,
8927,0.26,
8939,0.32,
8951,0.09,
8965,0.04,
8977,0.31,
8989,0.13,
9001,0,
9014,0.04,
9027,0.19,
9039,0.27,
9052,0.2,
9064,0.07,
9076,0,
9089,0.03,
9102,0.18,
9114,0,
9126,0,
9139,0,
9151,0.29,
9164,0.27,
9177,0.02,
9189,0.01,
9201,0,
9213,0.35,
9227,0.06,
9239,0.18,
9251,0.15,
9264,0.37,
9276,0.03,
9288,0,
9302,0,
9314,0,
9326,0.19,
9338,0.06,
9351,0.2,
9364,0,
9376,0.09,
9389,0.35,
9401,0.35,
9413,0.34,
9426,0.39,
9439,0.18,
9451,0.02,
9463,0.02,
9476,0,
9488,0,
9501,0,
9513,0.35,
9526,0.16,
9538,0.15,
9550,0.04,
9564,0.06,
9576,0.29,
9588,0.19,
9601,0.1,
9613,0.34,
9626,0.24,
9638,0.01,
9651,0.07,
9663,0.3,
9675,0.14,
9688,0,
9701,0.18,
9713,0.02,
9725,0.27,
9738,0.06,
9750,0,
9763,0.02,
9776,0.05,
9788,0.03,
9800,0,
9812,0.02,
9826,0.14,
9838,0,
9850,0,
9863,0,
9875,0.02,
9887,0.27,
9901,0,
9913,0,
9925,0,
9937,0,
9950,0.16,
9963,0,
9975,0.38,
9988,0.38,
10000,0,
