=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:00:02 =~=~=~=~=~=~=~=~=~=~=~=
1.89.1.79,
8614,0.18,
8628,1.06,
8640,0.62,
8652,1.41,
8665,0.26,
8677,0.45,
8689,2.22,
8702,0.87,
8715,0.65,
8727,1.17,
8739,2.12,
8752,0.46,
8765,1.39,
8777,1.58,
8790,0.89,
8802,0.64,
8814,0.64,
8827,0.85,
8840,1.36,
8852,2.18,
8864,0.84,
8877,0.54,
8889,1.70,
8902,0.79,
8914,0.92,
8927,1.65,
8939,0.01,
8951,0.05,
8965,0.03,
8977,0.01,
8989,0.06,
9001,2.09,
9014,2.14,
9027,0.48,
9039,0.23,
9052,2.11,
9064,1.00,
9076,1.48,
9089,1.92,
9102,0.43,
9114,2.17,
9126,2.25,
9139,1.27,
9151,0.35,
9164,1.92,
9177,0.48,
9189,0.75,
9201,2.02,
9213,2.22,
9227,2.22,
9239,2.19,
9251,0.96,
9264,0.41,
9276,0.87,
9288,2.04,
9302,0.67,
9314,0.95,
9326,1.95,
9338,0.56,
9351,0.01,
9364,0.02,
9376,0.01,
9389,0.03,
9401,0.02,
9413,0.44,
9426,0.09,
9439,1.44,
9451,0.76,
9463,0.80,
9476,0.46,
9488,2.00,
9501,2.24,
9513,0.38,
9526,2.23,
9538,2.11,
9550,1.80,
9564,0.42,
9576,1.53,
9588,0.37,
9601,1.37,
9613,2.02,
9626,1.60,
9638,1.57,
9651,1.84,
9663,2.43,
9675,0.86,
9688,0.44,
9701,1.28,
9713,1.77,
9725,0.46,
9738,1.76,
9750,0.55,
9763,0.03,
9776,0.01,
9788,0.02,
9800,0.04,
9812,2.35,
9826,0.07,
9838,0.12,
9850,2.21,
9863,0.85,
9875,0.58,
9887,0.27,
9901,1.72,
9913,1.08,
9925,0.45,
9937,0.69,
9950,0.97,
9963,0.54,
9975,0.71,
9988,1.80,
10000,0.94,
10013,2.11,
10028,0.46,
10041,1.70,
10054,0.43,
10067,1.17,
10081,1.91,
10095,1.21,
10108,0.82,
10122,0.64,
10135,0.60,
10148,0.67,
10163,0.86,
10176,0.02,
10189,0.01,
10203,0.01,
10216,0.01,
10230,0.01,
10244,0.04,
10257,1.37,
10270,0.39,
10284,1.33,
10298,1.78,
10311,0.25,
10324,0.39,
10338,1.14,
10351,1.52,
10365,0.41,
10379,1.83,
10392,0.83,
10405,0.66,
10419,1.04,
10433,2.11,
10446,0.53,
10460,1.50,
10473,0.40,
10486,2.02,
10501,1.49,
10514,0.81,
10527,0.50,
10541,0.42,
10554,0.43,
10568,0.42,
10582,0.46,
10595,0.03,
10608,0.01,
10621,0.03,
10636,0.02,
10649,0.09,
10662,0.32,
10676,1.09,
10690,2.37,
10703,0.30,
10717,0.36,
10730,0.26,
10743,1.38,
10758,0.55,
10771,1.06,
10784,1.23,
10798,1.34,
10811,0.80,
10825,0.92,
10839,1.66,
10852,1.03,
10865,0.74,
10878,1.21,
10893,1.34,
10906,0.46,
10919,0.71,
10933,1.58,
10946,2.34,
10960,2.11,
10974,2.09,
10987,2.25,
11000,2.15,
11014,0.02,
11028,0.04,
11041,0.05,
11055,0.03,
11068,1.36,
11081,0.67,
11096,0.12,
11109,0.35,
11122,1.27,
11136,0.58,
11149,1.06,
11163,0.47,
11176,0.63,
11190,0.41,
11203,2.17,
11216,1.39,
11231,1.16,
11244,1.59,
11257,1.73,
11271,0.40,
11284,2.04,
11298,0.52,
11312,0.99,
11325,1.98,
11338,1.20,
11352,0.76,
11366,0.56,
11379,0.51,
11393,0.54,
11406,0.67,
11419,0.00,
11433,0.00,
11447,0.01,
11460,0.04,
11473,0.00,
11487,2.16,
11501,0.94,
11514,1.75,
11528,0.63,
11541,0.49,
11555,2.23,
11569,0.46,
